"Brand","Label","Type","User Proof","Status","Special Designation","Size","COO","Purchase Date","Store","Price","Valuation","Bottle Rating","Willing To Trade","Location"
"Old Forester","86 Proof","bourbon","86","EMPTY","","750ml","United States","2020-05-27","Vons","20.00","0","","","Home Bar"
"Old Forester","Statesman Kentucky Straight Bourbon","bourbon","95","OPEN_75_PCT","","750ml","United States","2024-01-07","Gift","0.00","42.48","","","Home Bar"
"Penelope","Architect ","bourbon","104","NEW","","750ml","United States","2025-10-01","Gift","","63.47","","","Storage"
"Penelope","Architect Store pic","bourbon","110","OPEN_75_PCT","Bourbon Junkies Pick","750ml","United States","2022-01-06","Bourbon Outfitters ","60.00","49.17","","","Home Bar"
"Penelope","Toasted Straight Rye Whiskey Cask Strength","rye","113","OPEN_75_PCT","Bourbon Junkies Pick","750ml","United States","2023-01-06","Bourbon Outfitters ","60.00","53.94","","","Home Bar"
"Penelope ","Barrel Strength Bourbon ","bourbon","113.9","NEW","","750ml","United States","2023-11-26","Orange Hills Liquor ","70.00","65.8","","","Home Bar"
"Penelope ","Straight Bourbon Whiskey ","bourbon","80","NEW","","750ml","United States","2022-03-24","Total Wine","30.00","39.65","","","Home Bar"
"Proper No. Twelve","Irish Apple","irish whiskey","70","EMPTY","","750ml","Ireland","2023-06-23","Vons","30.00","0","","","Home Bar Second Shelf"
"RD One","Kentucky Straight Bourbon Red Oak Finished","bourbon","122.82","NEW","Bourbon Junkies Pick","750ml","United States","2024-04-07","","","75.87","","","Home Bar Second Shelf"
"Rare Character","Single Barrel Series","bourbon","117.86","OPEN_50_PCT","Bourbon Junkies Pick","750ml","United States","2022-06-06","Bourbon Outfitters ","120.00","45.26","","","Home Bar"
"Redwood Empire","Emerald Giant","rye","90","OPEN_75_PCT","","750ml","United States","2023-01-06","Ralphs","35.00","26.61","","","Home Bar"
"Redwood Empire","Lost Monarch","whiskey","90","OPEN_25_PCT","","750ml","United States","2023-01-06","Ralphs","35.00","5.73","","","Home Bar"
"Redwood Empire","Lost Monarch Cask Strength","whiskey","117.2","OPEN_100_PCT","","750ml","United States","2024-04-07","","95.00","69.66","","","Home Bar Second Shelf"
"Redwood Empire","Pipe Dream","bourbon","90","EMPTY","","750ml","United States","2024-01-07","Ralphs","35.00","0","","","Home Bar"
"Russell's Reserve","10 Year Old Bourbon","bourbon","90","EMPTY","","750ml","United States","2023-05-31","Texas Wine & Spirits ","40.00","0","","","Home Bar Second Shelf"
"Russell's Reserve","10 Year Old Bourbon","bourbon","90","OPEN_75_PCT","","750ml","United States","2024-05-23","","0.00","30.35","","","Home Bar Bottom shelf"
"Sagamore Spirit","Double Oak Rye Whiskey","rye","96.6","OPEN_75_PCT","","750ml","United States","2024-01-07","Total Wine","70.00","42.27","","","Home Bar"
"Stagg Jr","Kentucky Straight Bourbon","bourbon","127.6","OPEN_75_PCT","","750ml","United States","2024-08-28","Vons","120.00","81.7","","","Home Bar"
"Stauning","Kaos Danish Whiskey","whiskey","92","OPEN_75_PCT","","750ml","OTHER","2021-02-10","Flaviar","0.00","60.2","","","Home Bar Second Shelf"
"Suntory","Toki","japanese whiskey","86","OPEN_25_PCT","","750ml","Japan","2020-06-17","Gift","0.00","5.82","","","Home Bar Second Shelf"
"Teeling","Single Malt","irish whiskey","80","OPEN_25_PCT","","750ml","Ireland","2020-06-17","Gift","0.00","9.6","","","Home Bar Second Shelf"
"The Irishman","12 Year Single Malt ","single malt","96","OPEN_25_PCT","","750ml","Ireland","2023-12-06","Duty Free","85.00","12.75","","","Home Bar Second Shelf"
"Traveller Whiskey","Blend #40","whiskey","90","NEW","","750ml","United States","2024-02-08","Costco","34.99","40.08","","","Home Bar"
"Virtue Spirits","Essence Single Barrel","whiskey","131","OPEN_75_PCT","","750ml","United States","2024-08-13","Bourbon Outfitters ","79.99","54.35","","","Home Bar"
"Virtue Spirits","Essence Single Barrel","whiskey","131","OPEN_75_PCT","","750ml","United States","2024-03-03","Bourbon Outfitters ","79.99","54.35","","","Home Bar"
"Virtue Spirits","Single Barrel","bourbon","119","OPEN_75_PCT","","750ml","United States","2023-12-06","Bourbon Outfitters ","60.00","47.59","","","Home Bar"
"Virtue Spirits","Single Barrel","bourbon","119","OPEN_75_PCT","Barrel 4","750ml","United States","2024-03-19","","69.99","47.59","","","Home Bar"
"W. L. Weller","12 Year","bourbon","90","EMPTY","","750ml","United States","2022-08-04","Texas Wine & Spirits ","200.00","0","","","Home Bar"
"W. L. Weller","12 Year","bourbon","90","NEW","","750ml","United States","2025-09-14","Costco","39.99","108.76","","","Storage"
"W. L. Weller","12 Year","bourbon","90","NEW","","750ml","United States","2025-09-14","Costco","39.99","108.76","","","Storage"
"W. L. Weller","Special Reserve","bourbon","90","OPEN_50_PCT","","750ml","United States","2022-11-21","Texas Wine & Spirits ","80.00","15.02","","","Home Bar"
"Westward Whiskey","American Single Malt ","single malt","90","OPEN_75_PCT","","750ml","United States","2022-01-09","Flaviar","0.00","44.1","","","Home Bar Second Shelf"
"WhistlePig","12 Year Old World Rye","rye","86","NEW","","750ml","United States","2022-01-06","Total Wine","130.00","129.64","","","Home Bar"
"WhistlePig","6 Year Piggyback Rye","rye","96.56","NEW","","750ml","United States","2020-01-06","Total Wine","50.00","48.48","","","Home Bar"
"WhistlePig","Summerstock Pit Viper Limited Edition","rye","86","OPEN_75_PCT","","750ml","Canada","2023-01-06","Costco","50.00","54.83","","","Home Bar"
